Calculated input_dim: 8
  - XYZ: 3
  - Color (RGBA): 4
  - Intensity: 1
  - Group IDs: 0
  - Border weights: 0
Using 8 input channels for PointNet2 model
    CornerNet init: total_channels=8, feature_channels=5, border_attention=False, sampling=FPS
Loading checkpoint from: output/checkpoint_epoch_210.pth
Model state loaded from checkpoint.
Optimizer state loaded from checkpoint.
Resuming training from epoch 211 (checkpoint saved at epoch 210).
Checkpoint input_channels: 8
Starting training on cuda
Model input channels: 8
Training samples: 5677
Epoch 214, Batch 10, Total Loss: 0.0048, Focal: 0.0015, Distance: 0.0034, Corners: 802/102400 (0.008)
Epoch 214, Batch 20, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 670/102400 (0.007)
Epoch 214, Batch 30, Total Loss: 0.0028, Focal: 0.0009, Distance: 0.0019, Corners: 460/102400 (0.004)
Epoch 214, Batch 40, Total Loss: 0.0049, Focal: 0.0015, Distance: 0.0034, Corners: 797/102400 (0.008)
Epoch 214, Batch 50, Total Loss: 0.0035, Focal: 0.0011, Distance: 0.0024, Corners: 541/102400 (0.005)
Epoch 214, Batch 60, Total Loss: 0.0045, Focal: 0.0014, Distance: 0.0031, Corners: 737/102400 (0.007)
Epoch 214, Batch 70, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0027, Corners: 612/102400 (0.006)
Epoch 214, Batch 80, Total Loss: 0.0058, Focal: 0.0017, Distance: 0.0041, Corners: 907/102400 (0.009)
Epoch 214, Batch 90, Total Loss: 0.0035, Focal: 0.0011, Distance: 0.0024, Corners: 566/102400 (0.006)
Epoch 214, Batch 100, Total Loss: 0.0050, Focal: 0.0015, Distance: 0.0035, Corners: 807/102400 (0.008)
Epoch 214, Batch 110, Total Loss: 0.0045, Focal: 0.0014, Distance: 0.0031, Corners: 758/102400 (0.007)
Epoch 214, Batch 120, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0033, Corners: 782/102400 (0.008)
Epoch 214, Batch 130, Total Loss: 0.0037, Focal: 0.0012, Distance: 0.0026, Corners: 594/102400 (0.006)
Epoch 214, Batch 140, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0033, Corners: 744/102400 (0.007)
Epoch 214 completed. Average Loss: 0.0043, Time: 61.67s, Total: 247.30s (4.12min)
Epoch 215, Batch 0, Total Loss: 0.0041, Focal: 0.0013, Distance: 0.0029, Corners: 678/102400 (0.007)
Epoch 215, Batch 10, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 660/102400 (0.006)
Epoch 215, Batch 20, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0028, Corners: 632/102400 (0.006)
Epoch 215, Batch 30, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 646/102400 (0.006)
Epoch 215, Batch 40, Total Loss: 0.0037, Focal: 0.0011, Distance: 0.0026, Corners: 591/102400 (0.006)
Epoch 215, Batch 50, Total Loss: 0.0038, Focal: 0.0012, Distance: 0.0026, Corners: 655/102400 (0.006)
Epoch 215, Batch 60, Total Loss: 0.0033, Focal: 0.0010, Distance: 0.0023, Corners: 586/102400 (0.006)
Epoch 215, Batch 70, Total Loss: 0.0052, Focal: 0.0016, Distance: 0.0037, Corners: 823/102400 (0.008)
Epoch 215, Batch 80, Total Loss: 0.0046, Focal: 0.0014, Distance: 0.0032, Corners: 719/102400 (0.007)
Epoch 215, Batch 90, Total Loss: 0.0032, Focal: 0.0010, Distance: 0.0022, Corners: 529/102400 (0.005)
Epoch 215, Batch 100, Total Loss: 0.0031, Focal: 0.0010, Distance: 0.0021, Corners: 534/102400 (0.005)
Epoch 215, Batch 110, Total Loss: 0.0041, Focal: 0.0012, Distance: 0.0029, Corners: 670/102400 (0.007)
Epoch 215, Batch 120, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 620/102400 (0.006)
Epoch 215, Batch 130, Total Loss: 0.0034, Focal: 0.0011, Distance: 0.0024, Corners: 579/102400 (0.006)
Epoch 215, Batch 140, Total Loss: 0.0047, Focal: 0.0014, Distance: 0.0033, Corners: 718/102400 (0.007)
Epoch 215 completed. Average Loss: 0.0043, Time: 61.80s, Total: 309.10s (5.15min)
Epoch 216, Batch 0, Total Loss: 0.0042, Focal: 0.0013, Distance: 0.0029, Corners: 664/102400 (0.006)
Epoch 216, Batch 10, Total Loss: 0.0050, Focal: 0.0015, Distance: 0.0035, Corners: 829/102400 (0.008)
Epoch 216, Batch 20, Total Loss: 0.0048, Focal: 0.0014, Distance: 0.0033, Corners: 778/102400 (0.008)
Epoch 216, Batch 30, Total Loss: 0.0048, Focal: 0.0015, Distance: 0.0034, Corners: 782/102400 (0.008)
Epoch 216, Batch 40, Total Loss: 0.0046, Focal: 0.0014, Distance: 0.0032, Corners: 701/102400 (0.007)
Epoch 216, Batch 50, Total Loss: 0.0034, Focal: 0.0011, Distance: 0.0023, Corners: 576/102400 (0.006)
Epoch 216, Batch 60, Total Loss: 0.0057, Focal: 0.0017, Distance: 0.0040, Corners: 938/102400 (0.009)
Epoch 216, Batch 70, Total Loss: 0.0033, Focal: 0.0010, Distance: 0.0023, Corners: 501/102400 (0.005)
Epoch 216, Batch 80, Total Loss: 0.0036, Focal: 0.0011, Distance: 0.0025, Corners: 553/102400 (0.005)
Epoch 216, Batch 90, Total Loss: 0.0054, Focal: 0.0016, Distance: 0.0038, Corners: 938/102400 (0.009)
Epoch 216, Batch 100, Total Loss: 0.0043, Focal: 0.0013, Distance: 0.0030, Corners: 651/102400 (0.006)
Epoch 216, Batch 110, Total Loss: 0.0032, Focal: 0.0010, Distance: 0.0022, Corners: 510/102400 (0.005)
Epoch 216, Batch 120, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 648/102400 (0.006)
Epoch 216, Batch 130, Total Loss: 0.0044, Focal: 0.0013, Distance: 0.0031, Corners: 679/102400 (0.007)
Epoch 216, Batch 140, Total Loss: 0.0039, Focal: 0.0012, Distance: 0.0027, Corners: 662/102400 (0.006)
Epoch 216 completed. Average Loss: 0.0043, Time: 61.86s, Total: 370.96s (6.18min)
Epoch 217, Batch 0, Total Loss: 0.0042, Focal: 0.0013, Distance: 0.0029, Corners: 689/102400 (0.007)
Epoch 217, Batch 10, Total Loss: 0.0035, Focal: 0.0011, Distance: 0.0024, Corners: 610/102400 (0.006)
Epoch 217, Batch 20, Total Loss: 0.0040, Focal: 0.0012, Distance: 0.0028, Corners: 627/102400 (0.006)
Epoch 217, Batch 30, Total Loss: 0.0058, Focal: 0.0018, Distance: 0.0041, Corners: 1028/102400 (0.010)
